code,name
1,Personal Care Activities
101,Sleeping
102,Grooming
103,Health-related self care
104,Personal Activities
105,Personal Care Emergencies
199,"Personal care, n.e.c.*"
2,Household Activities
201,Housework
202,"Food & Drink Preparation, Presentation, & Clean-up"
203,"Interior Maintenance, Repair & Decoration"
204,"Exterior Maintenance, Repair & Decoration"
205,"Lawn, Garden, and Houseplants"
206,Animals and Pets
207,Vehicles
208,"Appliances, Tools, and Toys"
209,Household Management
299,"Household activities, n.e.c.*"
3,Caring For & Helping Household (HH) Members
301,Caring For & Helping HH Children
302,Activities Related to HH Children's Education
303,Activities Related to HH Children's Health
304,Caring for Household Adults
305,Helping Household Adults
399,Caring For & Helping NonHH Members
4,Caring for & Helping Nonhousehold (NonHH) Members
401,Caring for & Helping Nonhousehold Children
402,Activities Related to Nonhh Children's Education
403,Activities Related to Nonhh Children's Health
404,Caring For Nonhousehold Adults
405,Helping Nonhousehold Adults
499,"Caring For & Helping Nonhousehold Adults, n.e.c.*"
5,Work & Work-Related Activities
501,Working
502,Work-Related Activities
503,Other Income-Generating Activities
504,Job Search and Interviewing
599,"Work and Work-Related Activities, n.e.c.*"
6,Education
601,Taking Class
602,Extracurricular School Activities (Except Sports)
603,Research/Homework
604,Registration/Administrative activities
699,"Education, n.e.c.*"
7,Consumer Purchases
701,"Shopping (Store, Telephone, Internet)"
702,Researching Purchases
703,Security Procedures Related to Consumer Purchases
799,"Consumer Purchases, n.e.c.*"
8,Professional & Personal Care Services
801,Professional & Personal Care Services
802,Financial Services and Banking
803,Legal Services
804,Medical and Care Services
805,Personal Care Services
806,Real Estate
807,Veterinary Services (excluding grooming)
808,Security Procedures Related to Professional/Personal Services
899,"Professional and Personal Services, n.e.c.*"
9,Household Services
901,Household Services (not done by self)
902,Home Maintenance/Repair/Décor/Construction (not done by self)
903,"Pet Services (not done by self, not vet)"
904,Lawn & Garden Services (not done by self)
905,Vehicle Maintenance & Repair Services (not done by self)
999,"Household Services, n.e.c.*"
10,Government Services & Civic Obligations
1001,Using Government Services
1002,Civic Obligations & Participation
1003,Waiting Associated w/ Government Services or Civic Obligations
1004,Security Procedures Related to Government Services or Civic Obligations
1099,"Government services, n.e.c.*"
11,Eating and Drinking
1101,Eating and Drinking
1102,Waiting associated with Eating & Drinking
1199,"Eating and Drinking, n.e.c.*"
